k,s,seed,n,n_exact_6g,max_abs_err,median_abs_err,frac_exact
13,1000,42,496,0,0.248975,0.07902519999999999,0.0
13,5000,42,496,0,0.24741100000000002,0.0770519,0.0
13,10000,42,496,0,0.24741100000000002,0.074936,0.0
13,20000,42,496,0,0.24790900000000002,0.0768353,0.0
13,50000,42,496,0,0.248612,0.07745044999999999,0.0
13,100000,42,496,0,0.24829800000000002,0.077566,0.0
13,200000,42,496,0,0.247903,0.0775073,0.0
15,1000,42,496,0,0.160303,0.008294499999999996,0.0
15,5000,42,496,0,0.14807099999999998,0.0052992000000000004,0.0
15,10000,42,496,0,0.14731599999999997,0.005697500000000008,0.0
15,20000,42,496,0,0.146044,0.007039000000000004,0.0
15,50000,42,496,0,0.14443099999999998,0.005418999999999993,0.0
15,100000,42,496,0,0.1435,0.005929500000000018,0.0
15,200000,42,496,0,0.14448199999999997,0.006010500000000016,0.0
16,1000,42,496,0,0.12252599999999997,0.00975949999999999,0.0
16,5000,42,496,0,0.11263399999999998,0.003211500000000006,0.0
16,10000,42,496,0,0.106293,0.003535400000000001,0.0
16,20000,42,496,0,0.10710999999999998,0.0037977999999999987,0.0
16,50000,42,496,0,0.10608899999999999,0.00526900000000001,0.0
16,100000,42,496,0,0.10546099999999997,0.006142999999999996,0.0
16,200000,42,496,0,0.10557299999999997,0.006677499999999989,0.0
17,1000,42,496,0,0.6497919999999999,0.009902000000000022,0.0
17,5000,42,496,0,0.08134699999999997,0.008751000000000009,0.0
17,10000,42,496,0,0.077187,0.012299000000000004,0.0
17,20000,42,496,0,0.07389699999999999,0.011737499999999998,0.0
17,50000,42,496,0,0.07175799999999999,0.009924500000000003,0.0
17,100000,42,496,0,0.06692899999999999,0.010785500000000003,0.0
17,200000,42,496,0,0.06431900000000002,0.011388999999999996,0.0
18,1000,42,496,0,0.654733,0.012983999999999996,0.0
18,5000,42,496,0,0.05515599999999998,0.013087000000000001,0.0
18,10000,42,496,0,0.04211300000000001,0.012956499999999996,0.0
18,20000,42,496,0,0.042259999999999964,0.010836499999999999,0.0
18,50000,42,496,0,0.03387499999999999,0.010127999999999998,0.0
18,100000,42,496,0,0.034048999999999996,0.00787199999999999,0.0
18,200000,42,496,0,0.03352499999999997,0.0061450000000000116,0.0
19,1000,42,496,0,0.6880569999999999,0.005563000000000012,0.0
19,5000,42,496,0,0.06585999999999997,0.006486000000000006,0.0
19,10000,42,496,0,0.09807099999999996,0.006704500000000002,0.0
19,20000,42,496,0,0.09807099999999996,0.00783650000000001,0.0
19,50000,42,496,0,0.04081800000000002,0.005028499999999991,0.0
19,100000,42,496,0,0.022307999999999995,0.005402999999999991,0.0
