pair,ref_arm,from_mapping,from_annotation,source,note
40,S,S,S,VCF ##reference header + filename mapping frame,
70,S,S,"R,S",filename mapping frame,annotation present for both arms; reference taken from the mapping frame
72,S,S,S,filename mapping frame,
76,R,R,"R,S",filename mapping frame,annotation present for both arms; reference taken from the mapping frame
80,S,S,S,VCF ##reference header + filename mapping frame,
87,R,R,R,filename mapping frame,
103,S,S,S,filename mapping frame,
137,S,S,S,filename mapping frame,
155,S,S,S,filename mapping frame,
173,S,S,S,filename mapping frame,
189,S,S,S,filename mapping frame,
197,S,S,S,filename mapping frame,
200,S,S,S,filename mapping frame,
202,S,S,S,VCF ##reference header + filename mapping frame,
211,S,S,S,filename mapping frame,
212,R,R,R,VCF ##reference header + filename mapping frame,
216,S,S,S,VCF ##reference header + filename mapping frame,
219,S,S,S,filename mapping frame,
220,S,S,S,filename mapping frame,
222,S,S,S,VCF ##reference header + filename mapping frame,
226,R,R,R,VCF ##reference header + filename mapping frame,
231,S,S,S,filename mapping frame,
236,R,R,R,VCF ##reference header + filename mapping frame,
240,R,R,R,VCF ##reference header + filename mapping frame,
246,S,S,S,VCF ##reference header + filename mapping frame,
254,R,R,R,VCF ##reference header + filename mapping frame,
257,S,S,S,filename mapping frame,
260,S,S,S,VCF ##reference header + filename mapping frame,
265,R,R,R,VCF ##reference header + filename mapping frame,
275,R,R,R,VCF ##reference header + filename mapping frame,
279,R,R,R,VCF ##reference header + filename mapping frame,
283,R,R,R,VCF ##reference header + filename mapping frame,
298,S,S,S,VCF ##reference header + filename mapping frame,
