,103R,103S,137R,137S,155R,155S,173R,173S,189R,189S,197R,197S,200R,200S,202R,202S,211R,211S,212R,212S,216R,216S,219R,219S,220R,220S,222R,222S,226R,226S,231R,231S,236R,236S,240R,240S,246R,246S,254R,254S,257R,257S,260R,260S,265R,265S,275R,275S,279R,279S,283R,283S,298R,298S,40R,40S,70R,70S,72R,72S,76R,76S,80R,80S,87R,87S
103R,0.0,4.387e-05,0.175377,0.175451,0.177145,0.177145,0.179911,0.179931,0.0312908,0.0311862,0.175211,0.175137,0.028765,0.0287613,0.182894,0.182894,0.0151946,0.0151631,0.35328,0.35328,0.359186,0.359186,0.139256,0.139197,0.013611,0.0136066,0.0164663,0.0164607,0.0161585,0.0161441,0.176196,0.176309,0.35328,0.35328,0.0304319,0.0304119,0.358296,0.358296,0.0132655,0.013285,0.0158753,0.0158805,0.188759,0.188735,0.355722,0.355722,0.0325783,0.0325756,0.361017,0.361017,0.0161546,0.0161419,0.0157996,0.015804,0.188003,0.188003,0.0310304,0.0310374,0.0160484,0.0160493,0.0309805,0.0309795,0.183815,0.183837,0.0132757,0.0132833
103S,4.387e-05,0.0,0.175395,0.175487,0.177184,0.177164,0.179931,0.179972,0.0312929,0.0311897,0.175229,0.175174,0.0287645,0.0287664,0.182873,0.182851,0.0151962,0.0151673,0.35328,0.35328,0.359186,0.359186,0.139256,0.13918,0.0136098,0.0136078,0.0164699,0.0164632,0.0161576,0.0161471,0.176215,0.176347,0.35328,0.35328,0.0304339,0.0304104,0.358296,0.358296,0.0132643,0.0132835,0.0158805,0.0158882,0.188759,0.188759,0.355722,0.355722,0.0325772,0.0325814,0.361017,0.361017,0.0161524,0.0161463,0.0158024,0.01581,0.188003,0.188027,0.0310324,0.0310344,0.0160548,0.0160495,0.0309825,0.0309815,0.183837,0.183881,0.0132765,0.0132787
137R,0.175377,0.175395,0.0,7.841e-05,0.16475,0.16475,0.163149,0.163205,0.172202,0.172305,0.0101876,0.0101813,0.175229,0.175321,0.170575,0.170542,0.175192,0.175174,0.315392,0.315392,0.317216,0.317216,0.168876,0.168764,0.175506,0.175469,0.176121,0.176102,0.176159,0.176121,0.00970906,0.00972812,0.316113,0.316113,0.174771,0.174753,0.317965,0.317965,0.17682,0.17682,0.174808,0.17479,0.0533615,0.0533625,0.317965,0.317965,0.187641,0.187593,0.316478,0.316478,0.176159,0.17614,0.175952,0.175971,0.118632,0.118654,0.172774,0.172809,0.17584,0.17584,0.172739,0.172722,0.178075,0.178055,0.175248,0.175395
137S,0.175451,0.175487,7.841e-05,0.0,0.164735,0.16472,0.163135,0.163191,0.172236,0.172288,0.0101815,0.0101884,0.175303,0.175303,0.170575,0.170542,0.175248,0.175192,0.315392,0.315392,0.317216,0.317216,0.168844,0.168748,0.175543,0.175506,0.176177,0.176159,0.176159,0.176196,0.00970538,0.00972443,0.316113,0.316113,0.174844,0.174844,0.317965,0.317965,0.176839,0.176877,0.174844,0.174808,0.0533523,0.0533615,0.317965,0.317965,0.187641,0.187617,0.316478,0.316478,0.176234,0.176196,0.176009,0.175971,0.118617,0.118643,0.172826,0.172861,0.175859,0.175859,0.172809,0.172792,0.178055,0.178055,0.175266,0.175414
155R,0.177145,0.177184,0.16475,0.164735,0.0,5.402e-05,0.0272978,0.0273035,0.175822,0.175915,0.171858,0.171841,0.175822,0.17584,0.09785,0.0978533,0.179708,0.179647,0.336143,0.336143,0.335593,0.335593,0.167766,0.167704,0.176649,0.17663,0.178291,0.178291,0.178468,0.178468,0.170343,0.170526,0.337263,0.337263,0.177222,0.17726,0.337833,0.337833,0.176611,0.17663,0.179124,0.179084,0.173072,0.173037,0.333979,0.333979,0.174012,0.173976,0.337263,0.337263,0.178488,0.178488,0.178389,0.178389,0.171466,0.171449,0.172098,0.172098,0.173833,0.173851,0.172133,0.172116,0.113503,0.113503,0.181085,0.181085
155S,0.177145,0.177164,0.16475,0.16472,5.402e-05,0.0,0.0272939,0.0273013,0.175822,0.175915,0.171841,0.171841,0.175803,0.175822,0.0978565,0.0978337,0.179687,0.179627,0.336143,0.336143,0.335593,0.335593,0.167751,0.167704,0.17663,0.176611,0.178271,0.178271,0.178448,0.178448,0.170343,0.170526,0.337263,0.337263,0.177222,0.177241,0.337833,0.337833,0.176611,0.176649,0.179104,0.179064,0.173054,0.173037,0.333979,0.333979,0.173976,0.173941,0.337263,0.337263,0.178468,0.178468,0.178369,0.178369,0.171466,0.171432,0.172081,0.172081,0.173815,0.173815,0.172116,0.172098,0.113521,0.113531,0.181065,0.181065
173R,0.179911,0.179931,0.163149,0.163135,0.0272978,0.0272939,0.0,7.924e-05,0.176027,0.17614,0.171483,0.171466,0.179124,0.179144,0.0994394,0.0994563,0.179748,0.179687,0.336143,0.336143,0.337263,0.337263,0.163419,0.163376,0.180711,0.180691,0.181885,0.181885,0.181232,0.181232,0.168732,0.168908,0.337833,0.337833,0.179425,0.179465,0.336143,0.336143,0.180691,0.180732,0.178824,0.178824,0.170692,0.170659,0.333979,0.333979,0.180217,0.180176,0.338994,0.338994,0.181253,0.181253,0.180176,0.180176,0.173389,0.173336,0.179304,0.179304,0.179284,0.179284,0.179344,0.179324,0.112166,0.112161,0.180732,0.180711
173S,0.179931,0.179972,0.163205,0.163191,0.0273035,0.0273013,7.924e-05,0.0,0.176065,0.176121,0.171517,0.1715,0.179184,0.179184,0.0994834,0.0995003,0.179789,0.179728,0.336143,0.336143,0.337263,0.337263,0.163405,0.16339,0.180794,0.180753,0.181907,0.181907,0.181274,0.181274,0.168764,0.16894,0.337833,0.337833,0.179465,0.179505,0.336143,0.336143,0.180711,0.180732,0.178884,0.178864,0.170742,0.170692,0.333979,0.333979,0.180258,0.180217,0.338994,0.338994,0.181295,0.181295,0.180196,0.180196,0.173424,0.173389,0.179344,0.179344,0.179244,0.179264,0.179384,0.179364,0.112179,0.112188,0.180794,0.180753
189R,0.0312908,0.0312929,0.172202,0.172236,0.175822,0.175822,0.176027,0.176065,0.0,0.00021007,0.173037,0.173002,0.0271155,0.0271155,0.182355,0.182333,0.0318335,0.0318068,0.359186,0.359186,0.355722,0.355722,0.151504,0.151449,0.0329506,0.0329549,0.0330229,0.0330293,0.0329742,0.0329672,0.173177,0.173389,0.359186,0.359186,0.0267805,0.0267711,0.35328,0.35328,0.0331648,0.0331939,0.0321852,0.0321884,0.183199,0.183177,0.350208,0.350208,0.0110097,0.0110108,0.356564,0.356564,0.0329742,0.032971,0.0329058,0.0329063,0.185804,0.185804,0.0127808,0.0127877,0.0328759,0.0328652,0.0127376,0.0127295,0.182873,0.182916,0.0325582,0.0325767
189S,0.0311862,0.0311897,0.172305,0.172288,0.175915,0.175915,0.17614,0.176121,0.00021007,0.0,0.172098,0.172081,0.0268824,0.0268747,0.182527,0.182505,0.0316618,0.0316297,0.359186,0.359186,0.356564,0.356564,0.151372,0.151339,0.032925,0.0329218,0.0327822,0.0327864,0.0326846,0.0326808,0.172047,0.172219,0.359186,0.359186,0.0266569,0.0266509,0.35328,0.35328,0.0329239,0.0329474,0.0319118,0.0319185,0.183265,0.183243,0.350208,0.350208,0.0111306,0.0111316,0.356564,0.356564,0.0326846,0.0326793,0.0325915,0.0325878,0.185943,0.185943,0.0127805,0.0127843,0.0327801,0.0327721,0.0127385,0.0127354,0.182981,0.183046,0.0325287,0.0325435
197R,0.175211,0.175229,0.0101876,0.0101815,0.171858,0.171841,0.171483,0.171517,0.173037,0.172098,0.0,7.554e-05,0.174192,0.174156,0.172116,0.172064,0.175543,0.175506,0.317216,0.317216,0.317589,0.317589,0.169734,0.169653,0.174936,0.174899,0.175562,0.175543,0.173566,0.173602,0.0103628,0.010377,0.317216,0.317216,0.173478,0.17346,0.318345,0.318345,0.174426,0.174481,0.175747,0.17571,0.053934,0.0539236,0.318345,0.318345,0.185597,0.185574,0.317965,0.317965,0.173637,0.173637,0.173072,0.173002,0.118128,0.11817,0.17316,0.173248,0.175211,0.175211,0.173142,0.17316,0.179465,0.179445,0.176196,0.176347
197S,0.175137,0.175174,0.0101813,0.0101884,0.171841,0.171841,0.171466,0.1715,0.173002,0.172081,7.554e-05,0.0,0.174138,0.174246,0.172081,0.172047,0.175506,0.175451,0.317216,0.317216,0.317589,0.317589,0.169751,0.169653,0.174881,0.174881,0.175487,0.175487,0.173566,0.173549,0.0103628,0.0103793,0.317216,0.317216,0.173424,0.173424,0.318345,0.318345,0.174408,0.174426,0.175673,0.175654,0.0539444,0.053934,0.318345,0.318345,0.18562,0.185574,0.317965,0.317965,0.173584,0.173566,0.173019,0.173002,0.118139,0.118159,0.173124,0.173177,0.175211,0.175192,0.173177,0.173124,0.179445,0.179425,0.176177,0.176309
200R,0.028765,0.0287645,0.175229,0.175303,0.175822,0.175803,0.179124,0.179184,0.0271155,0.0268824,0.174192,0.174138,0.0,5.08e-05,0.181907,0.181885,0.0292979,0.029266,0.361017,0.361017,0.358296,0.358296,0.149377,0.149314,0.0296497,0.0296449,0.0301576,0.0301571,0.0288548,0.0288447,0.175119,0.175377,0.361017,0.361017,0.0190757,0.0190574,0.358296,0.358296,0.0305559,0.0305849,0.0296497,0.0296672,0.187954,0.187979,0.355722,0.355722,0.0277393,0.0277376,0.361017,0.361017,0.028847,0.0288419,0.0292833,0.0292805,0.186761,0.186761,0.0266305,0.0266356,0.0297945,0.0297935,0.0265851,0.0265809,0.184215,0.184259,0.0306115,0.0306307
200S,0.0287613,0.0287664,0.175321,0.175303,0.17584,0.175822,0.179144,0.179184,0.0271155,0.0268747,0.174156,0.174246,5.08e-05,0.0,0.181885,0.181864,0.0292904,0.0292613,0.361017,0.361017,0.358296,0.358296,0.149408,0.149356,0.0296454,0.0296416,0.0301566,0.0301547,0.0288438,0.0288382,0.175192,0.175469,0.361017,0.361017,0.0190728,0.0190559,0.358296,0.358296,0.0305539,0.0305785,0.0296487,0.0296653,0.18793,0.187954,0.355722,0.355722,0.0277327,0.0277349,0.361017,0.361017,0.0288456,0.0288419,0.0292749,0.0292805,0.186784,0.186761,0.0266314,0.0266284,0.0297912,0.0297964,0.0265813,0.0265766,0.184215,0.184259,0.0306179,0.0306257
202R,0.182894,0.182873,0.170575,0.170575,0.09785,0.0978565,0.0994394,0.0994834,0.182355,0.182527,0.172116,0.172081,0.181907,0.181885,0.0,7.338e-05,0.182098,0.182077,0.33191,0.33191,0.331406,0.331406,0.166836,0.16682,0.18344,0.18344,0.183948,0.183948,0.183925,0.183925,0.171551,0.171602,0.33191,0.33191,0.181928,0.181992,0.329926,0.329926,0.18366,0.183726,0.18197,0.181992,0.169441,0.169425,0.328491,0.328491,0.181547,0.181526,0.330907,0.330907,0.18397,0.183992,0.18377,0.18377,0.172392,0.172392,0.182484,0.182484,0.18355,0.183616,0.182484,0.182462,0.0993955,0.0993617,0.183243,0.183265
