pair,chrom,chrom_bp,extra_large_contigs,fixed_dispersed,dense_tracts,sites_in_tracts,subclonal_filtered,subclonal_dispersed,indel_differences,shared_sites,low_depth_sites,off_chromosome,defensible_distance
40,contig_1,5053162,-,4,0,0,3,266,0,493,15,0,4
80,contig_1,4804666,-,1,0,0,1,73,0,217,3,0,1
202,contig_1,4815776,-,2,0,0,5,5,0,82,0,1,2
212,contig_1,6834762,-,0,2,255,1,1,1,569,15,0,2
216,contig_3,6731486,-,2,0,0,25,41,42,4846,62,32,2
222,contig_1,5252495,-,0,0,0,0,0,0,239,9,6,0
226,contig_1,5110895,-,1,0,0,2,2,0,141,5,52,1
236,contig_2,4756281,contig_3,0,0,0,1,3,34,3664,70,1146,0
240,contig_1,5019991,-,1,0,0,2,2,0,657,1,7,1
246,contig_1,6462696,-,0,0,0,2,2,0,159,5,0,0
254,contig_1,5192994,-,2,0,0,1,1,0,121,0,11,2
260,contig_1,5128142,-,0,0,0,0,0,0,93,1,0,0
265,contig_1,6365965,-,0,0,0,1,1,0,40,1,0,0
275,contig_2,4830670,-,1,0,0,0,0,0,220,0,36,1
279,contig_1,6471217,-,1,0,0,0,0,0,82,1,0,1
283,contig_1,5110983,-,0,0,0,0,0,0,144,9,49,0
298,contig_2,5188696,-,0,1,7,0,0,0,395,7,12,1
